,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,aide,help
5,demande,request
6,genre,kind
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,laisse,leash
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,arrivé,come
17,longtemps,long time
18,pendant,while
19,revoir,meet again
20,place,square
21,parle,speak
22,compris,understood
23,savais,knew
24,étaient,were
25,attention,Warning
26,voici,here is
27,pourrais,could
28,affaire,case
29,donner,give
30,type,type
31,leurs,their
32,donné,given
33,train,train
34,endroit,place
35,yeux,eyes
36,écoute,listen
37,dont,whose
38,trouve,find
39,premier,first
40,perdu,lost
41,première,first
42,côté,side
43,pouvoir,power
44,vieux,old
45,sois,be
46,matin,morning
47,tellement,so much
48,enfant,child
49,point,point
50,suite,after
51,pardon,sorry
52,venez,come
53,devant,in front of
54,vers,towards
55,demandé,request
56,chambre,bedroom
57,belle,beautiful
58,droit,law
59,aimerais,would like to
60,aujourd'hui,today
61,mari,husband
62,cause,cause
63,enfin,finally
64,espère,hope
65,eau,water
66,attendez,Wait
67,parti,left
68,nouvelle,new
69,boulot,job
70,dirait,would say
71,terre,Earth
72,compte,account
73,loin,far
74,fin,end
75,croire,believe
76,chérie,sweetheart
77,gros,large
78,plutôt,rather
79,filles,girls
80,jouer,to play
81,bureau,office
